timestamp;custom sunup;custom sundown;AD sunup;AD sundown;AD sunrise;AD sunset
12:35;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:36;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:37;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:38;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:39;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:40;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:41;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:42;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:43;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:44;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:45;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:46;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:47;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:48;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:49;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:50;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:51;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:52;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:53;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:54;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:55;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:56;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:57;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:58;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
12:59;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:0;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:1;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:2;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:3;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:4;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:5;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:6;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:7;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:8;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:9;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:10;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:11;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:12;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:13;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:14;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:15;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:16;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:17;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:18;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:19;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:20;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:21;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:22;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:23;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:24;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:25;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:26;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:27;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:28;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:29;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:30;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:31;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:32;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:33;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:34;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:35;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:36;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:37;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:38;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:39;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:40;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:41;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:42;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:43;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:44;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:45;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:46;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:47;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:48;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:49;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:50;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:51;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:52;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:53;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:54;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:55;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:56;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:57;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:58;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
13:59;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:0;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:1;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:2;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
14:3;True;False;True;False;2020-05-09 05:57:52;2020-05-08 21:18:32
