#Timestamp [s];#kWh stand;#staat
1582281210;1,744;dryer on
1582289369;2,048;dryer off
1582306349;3,559;dryer on
1582314090;3,559;dryer off
1582550902;0,951;dryer on
1582558521;1,674;dryer off
1582641319;0,633;dryer on
1582647199;1,239;dryer off
1582905671;0,998;dryer on
1582912091;0,998;dryer off
1583316479;1,585;dryer on
1583323379;2,837;dryer off
1583326318;2,912;dryer on
1583326558;2,912;dryer off
1583486094;0,869;dryer on
1583491554;2,495;dryer off
1583497913;2,61;dryer on
1583505893;2,908;dryer off
1583833003;1,102;dryer on
1583838823;1,102;dryer off
1584195234;1,512;dryer on
1584201714;1,793;dryer off
1584447982;1,331;dryer on
1584454461;1,63;dryer off
1584885429;0,724;dryer on
1584895929;0,889;dryer off
1584899768;0,889;dryer on
1584904628;0,889;dryer off
1585232579;1,56;dryer on
1585239178;2,068;dryer off
1585313756;1,409;dryer on
1585319876;1,409;dryer off
1585761145;0,658;dryer on
1585766963;0,658;dryer off
1586173080;0,987;dryer on
1586179620;1,385;dryer off
1586424233;1,46;dryer on
1586429573;2,163;dryer off
1586436112;2,207;dryer on
1586437780;2,424;dryer on
1586440852;2,519;dryer off
1586625107;1,555;dryer on
1586634407;1,555;dryer off
1586970097;2,06;dryer on
1586976518;2,06;dryer off
1587210450;1,529;dryer on
1587216030;1,794;dryer off
1587294568;0,304;dryer on
1587298348;1,636;dryer off
1587304287;1,805;dryer on
1587309567;1,806;dryer off
1587370826;1,436;dryer on
1587376465;1,77;dryer off
1587898390;1,281;dryer on
1587904330;1,281;dryer off
1588263420;1,175;dryer on
1588269020;1,175;dryer on
1588269329;1,175;dryer off
1588675790;1,292;dryer on
1588676450;1,329;dryer off
1588688569;2,476;dryer on
1588694149;2,476;dryer off
1588924783;0,844;dryer on
1588930242;2,096;dryer off
1589043639;0,294;dryer on
1589049219;0,294;dryer off
1589116897;1,552;dryer on
1589125237;1,552;dryer off
1589390549;1,01;dryer on
1589396729;1,01;dryer off
1589721620;1,373;dryer on
1589727020;1,581;dryer off
1589728040;1,603;dryer on
1589728880;1,626;dryer off
1590331089;2,196;dryer on
1590338889;2,196;dryer off
1590429546;1,107;dryer on
1591025689;0,238;dryer on
1591029169;0,238;dryer off
1591610973;1,324;dryer on
1591617633;1,898;dryer off
1591957523;1,426;dryer on
1591963823;1,427;dryer off
1592305237;0,944;dryer on
1592312437;1,501;dryer off
1592394335;1,38;dryer on
1592400755;2,123;dryer off
1593000318;0,908;dryer on
1593006378;0,908;dryer off
1593255551;1,017;dryer on
1593261851;1,017;dryer off
1593687119;1,238;dryer on
1593694619;1,238;dryer off
1593798176;1,514;dryer on
1593802616;1,514;dryer off
1593856794;0,829;dryer on
1593861894;1,041;dryer off
1593870474;1,104;dryer on
1593875334;1,104;dryer off
1594382320;1,371;dryer on
1594390299;2,505;dryer off
1594396659;2,552;dryer on
1594400439;2,552;dryer off
1594987283;1,791;dryer on
1594995922;2,202;dryer off
1594999042;2,234;dryer on
1594999402;2,257;dryer off
1595080220;0,319;dryer on
1595083580;0,319;dryer off
1595160978;1,311;dryer on
1595168478;1,311;dryer off
1595257935;0,605;dryer on
1595267595;0,784;dryer off
1595332993;1,137;dryer on
1595338333;1,265;dryer off
1595593326;1,646;dryer on
1595599326;1,646;dryer off
1597592230;1,18;dryer on
1597596610;1,337;dryer off
1597672868;1,186;dryer on
1597682228;1,186;dryer off
1597741926;0,119;dryer on
1597746846;0,848;dryer off
1597752726;0,914;dryer on
1597759386;0,914;dryer off
1597834444;0,856;dryer on
1597841044;0,965;dryer off
1598258152;1,327;dryer on
1598266732;1,327;dryer off
1598607522;1,372;dryer on
1598615682;1,524;dryer off
1598896234;1,379;dryer on
1598902294;1,379;dryer off
1599144327;0,355;dryer on
1599152547;0,372;dryer off
1599158007;0,372;dryer on
1599159147;0,372;dryer off
1599197066;0;dryer on
1599201026;0;dryer off
1599305123;1,307;dryer on
1599311543;1,307;dryer off
1599644233;0,967;dryer on
1599649753;1,665;dryer off
1599666432;2,425;dryer on
1599668472;2,425;dryer off
1599815168;1,381;dryer on
1599821228;1,381;dryer off
1600000983;0,664;dryer on
1600005783;1,492;dryer off
1600008603;1,564;dryer on
1600010523;1,564;dryer off
1601131257;1,443;dryer on
1601138337;1,635;dryer off
1601294633;0,991;dryer on
1601299553;0,991;dryer off
1601468268;0,585;dryer on
1601473908;1,557;dryer off
1601484827;1,618;dryer on
1601489987;1,618;dryer off
